trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday
8396,2013-06-29 14:24,2013-06-29 14:39,909,932,25,Michigan Ave & Pearson St,54,Ogden Ave & Chicago Ave,Customer,,
8397,2013-06-29 14:24,2013-06-29 14:39,437,890,25,Michigan Ave & Pearson St,54,Ogden Ave & Chicago Ave,Customer,,
8398,2013-06-29 14:25,2013-06-29 15:08,540,2597,62,McCormick Place,52,Michigan Ave & Lake St,Customer,,
8401,2013-06-29 14:26,2013-06-29 14:40,591,840,90,Millennium Park,25,Michigan Ave & Pearson St,Customer,,
8403,2013-06-29 14:25,2013-06-29 14:45,32,1170,61,Wood St & Milwaukee Ave,29,Noble St & Milwaukee Ave,Customer,,
8404,2013-06-29 14:26,2013-06-29 14:39,817,817,58,Ashland Ave & Armitage Ave,87,Racine Ave & Fullerton Ave,Customer,,
8405,2013-06-29 14:26,2013-06-29 14:45,162,1143,61,Wood St & Milwaukee Ave,29,Noble St & Milwaukee Ave,Customer,,
8407,2013-06-29 14:26,2013-06-29 14:39,253,791,58,Ashland Ave & Armitage Ave,87,Racine Ave & Fullerton Ave,Customer,,
8409,2013-06-29 14:27,2013-06-29 14:45,358,1078,77,Clinton St & Madison St,90,Millennium Park,Customer,,
8411,2013-06-29 14:27,2013-06-29 14:45,207,1024,251,Clarendon Ave & Leland Ave,90,Millennium Park,Customer,,
8413,2013-06-29 14:28,2013-06-29 14:51,111,1398,34,Cannon Dr & Fullerton Ave,34,Cannon Dr & Fullerton Ave,Customer,,
8416,2013-06-29 14:29,2013-06-29 14:45,470,973,61,Wood St & Milwaukee Ave,29,Noble St & Milwaukee Ave,Customer,,
8421,2013-06-29 14:31,2013-06-29 14:42,62,679,49,Dearborn St & Monroe St,108,Halsted St & Polk St,Customer,,
8427,2013-06-29 14:32,2013-06-29 16:02,90,5360,43,Michigan Ave & Washington St,26,McClurg Ct & Illinois St,Customer,,
8432,2013-06-29 14:34,2013-06-29 14:41,372,449,25,Michigan Ave & Pearson St,24,Fairbanks Ct & Grand Ave,Customer,,
8433,2013-06-29 14:33,2013-06-29 16:02,538,5330,43,Michigan Ave & Washington St,26,McClurg Ct & Illinois St,Customer,,
8435,2013-06-29 14:34,2013-06-29 14:48,125,811,29,Noble St & Milwaukee Ave,47,State St & Kinzie St,Customer,,
8441,2013-06-29 14:36,2013-06-29 15:03,204,1643,81,Daley Center Plaza,85,Michigan Ave & Oak St,Customer,,
8442,2013-06-29 14:36,2013-06-29 14:56,413,1170,21,Aberdeen St & Jackson Blvd,33,State St & Van Buren St,Customer,,
8443,2013-06-29 14:36,2013-06-29 15:01,47,1450,26,McClurg Ct & Illinois St,71,Morgan St & Lake St,Customer,,
8444,2013-06-29 14:37,2013-06-29 15:04,137,1617,81,Daley Center Plaza,85,Michigan Ave & Oak St,Customer,,
8446,2013-06-29 14:37,2013-06-29 16:35,44,7061,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,,
8447,2013-06-29 14:37,2013-06-29 14:49,256,700,33,State St & Van Buren St,90,Millennium Park,Customer,,
8448,2013-06-29 14:37,2013-06-29 15:11,88,2038,28,Larrabee St & Menomonee St,26,McClurg Ct & Illinois St,Customer,,
8449,2013-06-29 14:38,2013-06-29 14:49,481,708,81,Daley Center Plaza,43,Michigan Ave & Washington St,Customer,,
8453,2013-06-29 14:39,2013-06-29 14:45,274,362,61,Wood St & Milwaukee Ave,29,Noble St & Milwaukee Ave,Customer,,
8454,2013-06-29 14:40,2013-06-29 14:42,54,132,25,Michigan Ave & Pearson St,25,Michigan Ave & Pearson St,Customer,,
8456,2013-06-29 14:40,2013-06-29 15:04,302,1419,85,Michigan Ave & Oak St,90,Millennium Park,Customer,,
8460,2013-06-29 14:42,2013-06-29 15:04,560,1328,251,Clarendon Ave & Leland Ave,85,Michigan Ave & Oak St,Customer,,
8461,2013-06-29 14:43,2013-06-29 20:35,143,21122,29,Noble St & Milwaukee Ave,29,Noble St & Milwaukee Ave,Customer,,
8462,2013-06-29 14:43,2013-06-29 15:02,348,1135,90,Millennium Park,52,Michigan Ave & Lake St,Customer,,
8463,2013-06-29 14:43,2013-06-29 15:02,517,1130,90,Millennium Park,52,Michigan Ave & Lake St,Customer,,
8465,2013-06-29 14:45,2013-06-29 15:17,109,1967,85,Michigan Ave & Oak St,279,Halsted St & 35th St,Customer,,
8467,2013-06-29 14:45,2013-06-29 15:15,220,1808,108,Halsted St & Polk St,19,Loomis St & Taylor St,Customer,,
8468,2013-06-29 14:45,2013-06-29 14:58,300,799,43,Michigan Ave & Washington St,81,Daley Center Plaza,Customer,,
8469,2013-06-29 14:45,2013-06-29 14:58,346,751,43,Michigan Ave & Washington St,81,Daley Center Plaza,Customer,,
8472,2013-06-29 14:47,2013-06-29 15:25,764,2288,62,McCormick Place,49,Dearborn St & Monroe St,Customer,,
8473,2013-06-29 14:47,2013-06-29 15:17,153,1810,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,,
8474,2013-06-29 14:47,2013-06-29 15:35,411,2828,94,Lincoln Ave & Armitage Ave,85,Michigan Ave & Oak St,Customer,,
8475,2013-06-29 14:48,2013-06-29 15:34,101,2793,94,Lincoln Ave & Armitage Ave,85,Michigan Ave & Oak St,Customer,,
8476,2013-06-29 14:48,2013-06-29 15:17,444,1736,56,Desplaines St & Kinzie St,94,Lincoln Ave & Armitage Ave,Customer,,
8478,2013-06-29 14:48,2013-06-29 15:13,25,1496,87,Racine Ave & Fullerton Ave,34,Cannon Dr & Fullerton Ave,Customer,,
8479,2013-06-29 14:49,2013-06-29 14:59,125,594,47,State St & Kinzie St,5,State St & Harrison St,Customer,,
8481,2013-06-29 14:50,2013-06-29 15:35,191,2687,94,Lincoln Ave & Armitage Ave,85,Michigan Ave & Oak St,Customer,,
8482,2013-06-29 14:50,2013-06-29 15:35,194,2669,94,Lincoln Ave & Armitage Ave,85,Michigan Ave & Oak St,Customer,,
8486,2013-06-29 14:51,2013-06-29 15:13,817,1299,87,Racine Ave & Fullerton Ave,34,Cannon Dr & Fullerton Ave,Customer,,
8488,2013-06-29 14:51,2013-06-29 15:00,112,497,85,Michigan Ave & Oak St,31,Franklin St & Chicago Ave,Customer,,
8491,2013-06-29 14:52,2013-06-29 15:10,238,1072,94,Lincoln Ave & Armitage Ave,67,Sheffield Ave & Fullerton Ave,Customer,,
8500,2013-06-29 14:56,2013-06-29 15:15,50,1146,53,Wells St & Erie St,49,Dearborn St & Monroe St,Customer,,
8501,2013-06-29 14:56,2013-06-29 15:15,394,1150,53,Wells St & Erie St,49,Dearborn St & Monroe St,Customer,,
8507,2013-06-29 14:58,2013-06-29 15:19,234,1256,13,Wilton Ave & Diversey Pkwy,348,California Ave & 21st St,Customer,,
8508,2013-06-29 14:58,2013-06-29 15:21,343,1403,33,State St & Van Buren St,24,Fairbanks Ct & Grand Ave,Customer,,
8511,2013-06-29 15:00,2013-06-29 15:18,222,1115,59,Wabash Ave & Roosevelt Rd,91,Clinton St & Washington Blvd,Customer,,
8512,2013-06-29 15:00,2013-06-29 15:12,600,717,80,Aberdeen St & Madison St,66,Clinton St & Lake St,Customer,,
8513,2013-06-29 15:01,2013-06-29 15:47,167,2731,85,Michigan Ave & Oak St,19,Loomis St & Taylor St,Customer,,
8518,2013-06-29 15:04,2013-06-29 15:19,261,892,13,Wilton Ave & Diversey Pkwy,34,Cannon Dr & Fullerton Ave,Customer,,
8519,2013-06-29 15:04,2013-06-29 15:26,163,1283,34,Cannon Dr & Fullerton Ave,13,Wilton Ave & Diversey Pkwy,Customer,,
8520,2013-06-29 15:05,2013-06-29 15:54,517,2958,52,Michigan Ave & Lake St,33,State St & Van Buren St,Customer,,
8522,2013-06-29 15:05,2013-06-29 15:26,269,1242,34,Cannon Dr & Fullerton Ave,13,Wilton Ave & Diversey Pkwy,Customer,,
8531,2013-06-29 15:09,2013-06-29 15:38,848,1729,57,Clinton St & Roosevelt Rd,60,Dayton St & North Ave,Customer,,
8532,2013-06-29 15:09,2013-06-29 15:37,92,1705,57,Clinton St & Roosevelt Rd,60,Dayton St & North Ave,Customer,,
8533,2013-06-29 15:10,2013-06-29 15:54,540,2611,52,Michigan Ave & Lake St,33,State St & Van Buren St,Customer,,
8534,2013-06-29 15:11,2013-06-29 16:06,300,3299,81,Daley Center Plaza,90,Millennium Park,Customer,,
8535,2013-06-29 15:11,2013-06-29 16:06,346,3326,81,Daley Center Plaza,90,Millennium Park,Customer,,
8536,2013-06-29 15:11,2013-06-29 15:40,238,1761,67,Sheffield Ave & Fullerton Ave,69,Damen Ave & Pierce Ave,Customer,,
8538,2013-06-29 15:12,2013-06-29 15:23,599,620,90,Millennium Park,90,Millennium Park,Customer,,
8539,2013-06-29 15:12,2013-06-29 16:20,105,4047,45,Michigan Ave & Congress Pkwy,33,State St & Van Buren St,Customer,,
8540,2013-06-29 15:12,2013-06-29 16:19,236,4021,45,Michigan Ave & Congress Pkwy,33,State St & Van Buren St,Customer,,
8545,2013-06-29 15:14,2013-06-29 16:16,489,3757,90,Millennium Park,90,Millennium Park,Customer,,
8546,2013-06-29 15:14,2013-06-29 15:41,25,1657,34,Cannon Dr & Fullerton Ave,34,Cannon Dr & Fullerton Ave,Customer,,
8547,2013-06-29 15:14,2013-06-29 15:32,134,1092,26,McClurg Ct & Illinois St,53,Wells St & Erie St,Customer,,
8548,2013-06-29 15:14,2013-06-29 16:16,256,3729,90,Millennium Park,90,Millennium Park,Customer,,
8550,2013-06-29 15:14,2013-06-29 15:40,817,1542,34,Cannon Dr & Fullerton Ave,340,Clark St & Wrightwood Ave,Customer,,
8551,2013-06-29 15:15,2013-06-29 15:49,572,2011,279,Halsted St & 35th St,43,Michigan Ave & Washington St,Customer,,
8555,2013-06-29 15:17,2013-06-29 15:31,420,833,340,Clark St & Wrightwood Ave,53,Wells St & Erie St,Customer,,
8557,2013-06-29 15:18,2013-06-29 15:20,519,144,91,Clinton St & Washington Blvd,91,Clinton St & Washington Blvd,Customer,,
8558,2013-06-29 15:18,2013-06-29 16:30,351,4311,85,Michigan Ave & Oak St,90,Millennium Park,Customer,,
8560,2013-06-29 15:18,2013-06-29 15:50,209,1907,30,Ashland Ave & Augusta Blvd,85,Michigan Ave & Oak St,Customer,,
8562,2013-06-29 15:19,2013-06-29 16:12,425,3200,43,Michigan Ave & Washington St,76,Lake Shore Dr & Monroe St,Customer,,
8564,2013-06-29 15:19,2013-06-29 15:46,74,1628,46,Wells St & Walton St,85,Michigan Ave & Oak St,Customer,,
8567,2013-06-29 15:19,2013-06-29 15:45,159,1539,87,Racine Ave & Fullerton Ave,279,Halsted St & 35th St,Customer,,
8568,2013-06-29 15:19,2013-06-29 16:30,153,4245,85,Michigan Ave & Oak St,90,Millennium Park,Customer,,
8569,2013-06-29 15:19,2013-06-29 16:30,109,4232,279,Halsted St & 35th St,90,Millennium Park,Customer,,
8573,2013-06-29 15:20,2013-06-29 15:31,76,682,73,Jefferson St & Monroe St,49,Dearborn St & Monroe St,Customer,,
8574,2013-06-29 15:20,2013-06-29 15:49,607,1720,30,Ashland Ave & Augusta Blvd,85,Michigan Ave & Oak St,Customer,,
8575,2013-06-29 15:21,2013-06-29 16:01,536,2413,53,Wells St & Erie St,34,Cannon Dr & Fullerton Ave,Customer,,
8576,2013-06-29 15:21,2013-06-29 16:01,543,2414,53,Wells St & Erie St,34,Cannon Dr & Fullerton Ave,Customer,,
8577,2013-06-29 15:21,2013-06-29 16:01,315,2395,53,Wells St & Erie St,164,Franklin St & Lake St,Customer,,
8578,2013-06-29 15:22,2013-06-29 15:54,474,1927,36,Franklin St & Jackson Blvd,62,McCormick Place,Customer,,
8579,2013-06-29 15:22,2013-06-29 15:54,494,1916,36,Franklin St & Jackson Blvd,43,Michigan Ave & Washington St,Customer,,
8580,2013-06-29 15:22,2013-06-29 15:40,910,1078,90,Millennium Park,81,Daley Center Plaza,Customer,,
8582,2013-06-29 15:22,2013-06-29 15:40,293,1097,90,Millennium Park,81,Daley Center Plaza,Customer,,
8584,2013-06-29 15:22,2013-06-29 15:33,596,617,91,Clinton St & Washington Blvd,46,Wells St & Walton St,Customer,,
8586,2013-06-29 15:23,2013-06-29 15:39,307,993,43,Michigan Ave & Washington St,25,Michigan Ave & Pearson St,Customer,,
8597,2013-06-29 15:27,2013-06-29 15:54,372,1630,24,Fairbanks Ct & Grand Ave,51,Clark St & Randolph St,Customer,,
8606,2013-06-29 15:29,2013-06-29 15:41,269,730,13,Wilton Ave & Diversey Pkwy,67,Sheffield Ave & Fullerton Ave,Customer,,
8607,2013-06-29 15:30,2013-06-29 15:41,163,690,13,Wilton Ave & Diversey Pkwy,67,Sheffield Ave & Fullerton Ave,Customer,,
8608,2013-06-29 15:30,2013-06-29 16:07,473,2209,25,Michigan Ave & Pearson St,67,Sheffield Ave & Fullerton Ave,Customer,,
8610,2013-06-29 15:31,2013-06-29 15:33,417,156,90,Millennium Park,90,Millennium Park,Customer,,
8611,2013-06-29 15:31,2013-06-29 16:06,591,2135,25,Michigan Ave & Pearson St,67,Sheffield Ave & Fullerton Ave,Customer,,
